user_id_str,full_text,text_en
1624518348.0,Se buruk buruknya bandara ternate lebih buruk pelayanan bandara Luwuk,"As bad as Ternate airport is, Luwuk airport service is worse"
318411580.0,Asik cair trims Pemda Luwuk. Yuk satu bulan sisanya bisa cair lagi gausa fafifu ,"Enjoy the liquid, thanks Luwuk Regional Government. Come on, the remaining one month can be liquid again gausa fafifu"
99831052.0,Mudik ke kota orang wkwk.. mudah mudah jadi mudik terakhir ke Luwuk.. next bisa mudik terus bareng org rumah,"Going home to the city of people hahaha... easy, easy, it will be the last time going home to Luwuk... next time you can continue going home with people from home"
167487983.0,Manifesting bisa ke Luwuk Banggai suatu hari nanti. Bismillah yakin ,Manifesting could go to Luwuk Banggai one day. Bismillah sure
218445618.0,liat ig liat pantai di Banggai Laut tp nyebrang dr Luwuk pake kapal besar aja 4-6jam,I looked at the beach at Banggai Laut but crossed from Luwuk using a big boat in just 4-6 hours
1.0589806657885756e+18,Mo pulang luwuk malah ga punya duit anjay,"Mo went home from Luwuk and didn't even have any money, Anjay"
613586343.0,ini capekk kayak tidak mo ilang² blum habis capek dari gorontalo so lanjut k luwuk di luwuk sana mari urus ini itu ya Allah maapkan selalu mengeluh ‍️,"I'm tired, I don't think I'm going to go away, I'm not tired yet from Gorontalo, so let's go to luwuk in Luwuk there, let's take care of this and that, God, forgive me for always complaining ‍️"
931694269.0,mukaku tahun 2011 masih luwuk bopung abis. bisa-bisanya tahun segitu IU Suzy sama Eunbin udah bening banget ga keliatan jametnya sama sekali ,"My face in 2011 was still very puffy. Maybe this year IU, Suzy and Eunbin will be so clear that they can't see their james at all."
318411580.0,PAK JOKOWI KE LUWUK TUH KAYA .. KNP GA PAS GW ISHIP SIH? ,PAK JOKOWI IS GOING TO LUWUK RICH.. KNP IS NOT FIT FOR GW ISHIP?
591388806.0,Sailing from luwuk sulteng to weda halmahera,"Sailing from Luwuk, Central Sulawesi to Weda Halmahera"
2936674712.0,Here we go again luwuk dgn gempa nya,Here we go again luwuk with the earthquake
1.2952453769543063e+18,selama ngeba penasaran bgt ada gsi tmn ba yg dri luwuk banggai jg? #zonauang,"While I was reading, I was really curious, is there a GSI friend of yours that Luwuk is proud of too? #moneyzone"
1.7274955487801344e+18,Mimpiin org yg ga pengen diinget. Mana samperin sampe ke luwuk lagi,Dream about people you don't want to remember. Where do you get to Luwuk again?
1.15324552197419e+18,Luwuk beserta uap lautnya,Luwuk and its sea steam
1.0589806657885756e+18,Liat di tiktok ada yg dibangunin sahur sama anak-anak kompleksnya aku jadi kangen puasa di Luwuk yg tiap sahur dibangunin gt jugakkk sama anak-anak kompleksku. Yg awalnya nyebut aku doang hari hari berikutnya udah bawa mama papaku juga ,"I saw on TikTok that someone was building a sahur compound for the children, I really miss fasting in Luwuk, where every sahur I also build a complex for my children. The one who initially mentioned me only brought my mother and father the next day"
193969272.0,Nu sok beja bandung mah hidupnya pelan dsb berarti can pernah nyobaan Luwuk Balige Klaten Purwokerto Wonosobo Tarutung dsb,"So, if you live in Bandung, life is slow, etc., which means you can try Luwuk, Balige, Klaten, Purwokerto, Wonosobo, Tarutung, etc."
1.7274955487801344e+18,Jalan ke banggai luwuk seru ga sih? Wkwkkw,Is the trip to Banggai Luwuk exciting? Wow
1.0372963647223887e+18,Hallo sobat BaLuk terima kasih atas partisipasi yang diberikan dalam mendukung Balai Pemasyarakatan Kelas II Luwuk Jajaran Kementerian Hukum dan HAM Sulawesi Tengah guna memberikan pelayanan yang terbaik bagi masyarakat.,"Hello BaLuk friends, thank you for your participation in supporting the Class II Luwuk Correctional Center within the Ministry of Law and Human Rights of Central Sulawesi to provide the best service for the community."
1.0185535902211892e+18,Harga harga di pasar tradisional di Luwuk Banggai hampir semua naik di antaranya beras sayur tomat gula pasir.,"Almost everything at the traditional market in Luwuk Banggai has increased, including rice, vegetables, tomatoes, sugar."
