user_id_str,full_text,text_en,lwr,clean_number,clean_punct,clean_double_ws,scores,compound,comp_scores
1624518348.0,Se buruk buruknya bandara ternate lebih buruk pelayanan bandara Luwuk,"As bad as Ternate airport is, Luwuk airport service is worse","as bad as ternate airport is, luwuk airport service is worse","as bad as ternate airport is, luwuk airport service is worse",as bad as ternate airport is luwuk airport service is worse,as bad as ternate airport is luwuk airport service is worse,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.765}",-0.765,negatif
318411580.0,Asik cair trims Pemda Luwuk. Yuk satu bulan sisanya bisa cair lagi gausa fafifu ,"Enjoy the liquid, thanks Luwuk Regional Government. Come on, the remaining one month can be liquid again gausa fafifu","enjoy the liquid, thanks luwuk regional government. come on, the remaining one month can be liquid again gausa fafifu","enjoy the liquid, thanks luwuk regional government. come on, the remaining one month can be liquid again gausa fafifu",enjoy the liquid thanks luwuk regional government  come on the remaining one month can be liquid again gausa fafifu,enjoy the liquid thanks luwuk regional government come on the remaining one month can be liquid again gausa fafifu,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.7269}",0.7269,positif
99831052.0,Mudik ke kota orang wkwk.. mudah mudah jadi mudik terakhir ke Luwuk.. next bisa mudik terus bareng org rumah,"Going home to the city of people hahaha... easy, easy, it will be the last time going home to Luwuk... next time you can continue going home with people from home","going home to the city of people hahaha... easy, easy, it will be the last time going home to luwuk... next time you can continue going home with people from home","going home to the city of people hahaha... easy, easy, it will be the last time going home to luwuk... next time you can continue going home with people from home",going home to the city of people hahaha    easy easy it will be the last time going home to luwuk    next time you can continue going home with people from home,going home to the city of people hahaha easy easy it will be the last time going home to luwuk next time you can continue going home with people from home,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.8555}",0.8555,positif
167487983.0,Manifesting bisa ke Luwuk Banggai suatu hari nanti. Bismillah yakin ,Manifesting could go to Luwuk Banggai one day. Bismillah sure,manifesting could go to luwuk banggai one day. bismillah sure,manifesting could go to luwuk banggai one day. bismillah sure,manifesting could go to luwuk banggai one day  bismillah sure,manifesting could go to luwuk banggai one day bismillah sure,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.3182}",0.3182,positif
218445618.0,liat ig liat pantai di Banggai Laut tp nyebrang dr Luwuk pake kapal besar aja 4-6jam,I looked at the beach at Banggai Laut but crossed from Luwuk using a big boat in just 4-6 hours,i looked at the beach at banggai laut but crossed from luwuk using a big boat in just 4-6 hours,i looked at the beach at banggai laut but crossed from luwuk using a big boat in just - hours,i looked at the beach at banggai laut but crossed from luwuk using a big boat in just   hours,i looked at the beach at banggai laut but crossed from luwuk using a big boat in just hours,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
1.0589806657885756e+18,Mo pulang luwuk malah ga punya duit anjay,"Mo went home from Luwuk and didn't even have any money, Anjay","mo went home from luwuk and didn't even have any money, anjay","mo went home from luwuk and didn't even have any money, anjay",mo went home from luwuk and didn t even have any money anjay,mo went home from luwuk and didn t even have any money anjay,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
613586343.0,ini capekk kayak tidak mo ilang² blum habis capek dari gorontalo so lanjut k luwuk di luwuk sana mari urus ini itu ya Allah maapkan selalu mengeluh ‍️,"I'm tired, I don't think I'm going to go away, I'm not tired yet from Gorontalo, so let's go to luwuk in Luwuk there, let's take care of this and that, God, forgive me for always complaining ‍️","i'm tired, i don't think i'm going to go away, i'm not tired yet from gorontalo, so let's go to luwuk in luwuk there, let's take care of this and that, god, forgive me for always complaining ‍️","i'm tired, i don't think i'm going to go away, i'm not tired yet from gorontalo, so let's go to luwuk in luwuk there, let's take care of this and that, god, forgive me for always complaining ‍️",i m tired i don t think i m going to go away i m not tired yet from gorontalo so let s go to luwuk in luwuk there let s take care of this and that god forgive me for always complaining   ,i m tired i don t think i m going to go away i m not tired yet from gorontalo so let s go to luwuk in luwuk there let s take care of this and that god forgive me for always complaining,"{'neg': 0.181, 'neu': 0.643, 'pos': 0.176, 'compound': -0.0516}",-0.0516,netral
931694269.0,mukaku tahun 2011 masih luwuk bopung abis. bisa-bisanya tahun segitu IU Suzy sama Eunbin udah bening banget ga keliatan jametnya sama sekali ,"My face in 2011 was still very puffy. Maybe this year IU, Suzy and Eunbin will be so clear that they can't see their james at all.","my face in 2011 was still very puffy. maybe this year iu, suzy and eunbin will be so clear that they can't see their james at all.","my face in  was still very puffy. maybe this year iu, suzy and eunbin will be so clear that they can't see their james at all.",my face in  was still very puffy  maybe this year iu suzy and eunbin will be so clear that they can t see their james at all ,my face in was still very puffy maybe this year iu suzy and eunbin will be so clear that they can t see their james at all,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.5214}",0.5214,positif
318411580.0,PAK JOKOWI KE LUWUK TUH KAYA .. KNP GA PAS GW ISHIP SIH? ,PAK JOKOWI IS GOING TO LUWUK RICH.. KNP IS NOT FIT FOR GW ISHIP?,pak jokowi is going to luwuk rich.. knp is not fit for gw iship?,pak jokowi is going to luwuk rich.. knp is not fit for gw iship?,pak jokowi is going to luwuk rich   knp is not fit for gw iship ,pak jokowi is going to luwuk rich knp is not fit for gw iship,"{'neg': 0.119, 'neu': 0.678, 'pos': 0.203, 'compound': 0.3591}",0.3591,positif
591388806.0,Sailing from luwuk sulteng to weda halmahera,"Sailing from Luwuk, Central Sulawesi to Weda Halmahera","sailing from luwuk, central sulawesi to weda halmahera","sailing from luwuk, central sulawesi to weda halmahera",sailing from luwuk central sulawesi to weda halmahera,sailing from luwuk central sulawesi to weda halmahera,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
